created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,search_optimization,search_optimization_progress,search_optimization_bytes,is_external,enable_schema_evolution,owner_role_type,is_event,is_hybrid,is_iceberg,is_dynamic,is_immutable
2025-08-01 03:51:04.098 -0700,PERMANENT_TABLE,MYDB,MYSCHEMA,TABLE,,,0,0,ACCOUNTADMIN,3,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N
2025-08-01 04:01:07.794 -0700,TEMPORARY_TABLE,MYDB,MYSCHEMA,TEMPORARY,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N
2025-08-01 03:59:04.468 -0700,TRANSIENT_TABLE,MYDB,MYSCHEMA,TRANSIENT,,,0,0,ACCOUNTADMIN,1,OFF,OFF,OFF,,,N,N,ROLE,N,N,N,N,N
